user_prompt,response
What’s the price for 50 first aid kits?,quote_request
How much for 200 raincoats?,quote_request
Can I get a quote for 30 plasma TVs?,quote_request
What’s the cost of 500 cardboard boxes?,quote_request
"How much would it be for 1,000 candy bars?",quote_request
Can you provide a quote for 20 fireproof safes?,quote_request
What’s the price for 50 cordless phones?,quote_request
How much for 500 water filters?,quote_request
Can I get a price for 200 sleeping bags?,quote_request
"What would 1,000 balloons cost?",quote_request
How much for 20 heavy-duty locks?,quote_request
Can you quote me on 500 umbrellas?,quote_request
What’s the cost of 200 cleaning brushes?,quote_request
How much would it be for 50 toolkits?,quote_request
"Can you provide pricing for 1,000 pens?",quote_request
What’s the price for 30 fax machines?,quote_request
How much for 500 backpacks?,quote_request
Can I get a quote for 20 patio sets?,quote_request
"What’s the cost of 1,000 party hats?",quote_request
How much would it be for 200 plant pots?,quote_request
Can you provide a quote for 50 extension cords?,quote_request
What’s the price for 500 tablecloths?,quote_request
How much for 20 baby cribs?,quote_request
"Can I get a price for 1,000 wine glasses?",quote_request
What would 30 recliners cost?,quote_request
How much for 500 disposable razors?,quote_request
Can you quote me on 200 tennis balls?,quote_request
What’s the cost of 50 skateboards?,quote_request
How much would it be for 20 kayaks?,quote_request
"Can you provide pricing for 1,000 T-shirts?",quote_request
What’s the price for 200 reusable straws?,quote_request
How much for 30 air mattresses?,quote_request
Can I get a quote for 500 picture frames?,quote_request
What’s the cost of 50 cordless drills?,quote_request
"How much would it be for 1,000 dishwashing sponges?",quote_request
Can you provide a quote for 20 standing desks?,quote_request
What’s the price for 500 ceramic tiles?,quote_request
How much for 200 power strips?,quote_request
Can I get a price for 50 fishing rods?,quote_request
"What would 1,000 pairs of socks cost?",quote_request
How much for 30 upright vacuum cleaners?,quote_request
Can you quote me on 200 industrial fans?,quote_request
What’s the cost of 50 microwaves?,quote_request
"How much would it be for 1,000 cookbooks?",quote_request
Can you provide pricing for 20 pool tables?,quote_request
What’s the price for 500 pairs of gloves?,quote_request
How much for 200 hand trucks?,quote_request
Can I get a quote for 50 baby strollers?,quote_request
"What’s the cost of 1,000 notepads?",quote_request
How much would it be for 20 camping tents?,quote_request
Can you provide a quote for 500 measuring tapes?,quote_request
What’s the price for 200 leather jackets?,quote_request
How much for 30 massage chairs?,quote_request
"Can I get a price for 1,000 rubber bands?",quote_request
What would 500 garden rakes cost?,quote_request
How much for 20 4K cameras?,quote_request
Can you quote me on 50 chainsaws?,quote_request
"What’s the cost of 1,000 storage boxes?",quote_request
How much would it be for 200 LED lamps?,quote_request
Can I get a quote for 500 units of your product?,quote_request
Please provide a quote for website design services.,quote_request
What would the cost be for catering an event for 100 people?,quote_request
Can you quote me on shipping costs for a bulk order?,quote_request
How much do you charge for monthly IT support services?,quote_request
I need a quote for custom software development.,quote_request
What is the price for a 12-month subscription to your service?,quote_request
"Can you provide a quote for printing 1,000 brochures?",quote_request
Please send me a quote for a 3-bedroom apartment cleaning.,quote_request
How much would it cost to repair a leaky roof?,quote_request
Can I get a quote for 100 custom t-shirts?,quote_request
What is the cost of a new HVAC installation?,quote_request
Can you quote me on landscaping services for a small yard?,quote_request
How much do you charge for photography services for a wedding?,quote_request
Please provide a quote for office furniture for 20 employees.,quote_request
What’s the price for a 10-user license for your software?,quote_request
Can you quote the cost of building a custom WordPress site?,quote_request
What’s the cost to ship a package internationally?,other
"Can I get a quote for 5,000 promotional pens?",quote_request
What is the price for a year of cloud storage?,quote_request
Please send me a quote for a video editing project.,quote_request
How much do you charge for translation services per word?,quote_request
Can you provide a quote for custom packaging materials?,quote_request
What would the cost be for a weekly meal delivery service?,quote_request
Can I get a quote for social media marketing services?,quote_request
What’s the price for a weekend stay at your hotel?,quote_request
Please quote the cost of a private tutor for 10 sessions.,quote_request
How much do you charge for a fitness trainer per hour?,quote_request
"Can you quote me for pest control services for a 2,000 sq ft house?",quote_request
What is the cost of a custom engagement ring?,quote_request
Can I get a quote for auto insurance for a 2020 Honda Civic?,quote_request
What’s the cost of a full-page ad in your magazine?,quote_request
Please provide a quote for a home remodeling project.,quote_request
How much would it cost to develop a mobile app?,quote_request
Can you quote me on the price of solar panel installation?,quote_request
What’s the price for 50 gift boxes with custom branding?,quote_request
Please send me a quote for a weekend car rental.,quote_request
How much do you charge for interior painting per square foot?,quote_request
Can I get a quote for dog grooming services?,quote_request
What’s the price for 200 embroidered caps?,quote_request
Please provide a quote for 3 hours of legal consultation.,quote_request
How much do you charge for data recovery services?,quote_request
Can you quote the cost of a custom logo design?,quote_request
What’s the price for a one-day conference room rental?,quote_request
Please send me a quote for a monthly gym membership.,quote_request
How much would it cost to host a 50-guest wedding?,quote_request
Can you provide a quote for a corporate training workshop?,quote_request
What’s the price for 500 custom business cards?,quote_request
Please quote the cost of a home inspection.,quote_request
How much do you charge for drone photography services?,quote_request
Can I get a quote for a custom-built gaming PC?,quote_request
"What is the cost of 1,000 pounds of bulk coffee beans?",quote_request
Please provide a quote for long-distance moving services.,quote_request
What’s the price for an annual maintenance contract?,quote_request
How much do you charge for voice-over recording?,quote_request
Can you quote me on window replacement for 10 windows?,quote_request
What’s the cost for custom signage for a retail store?,quote_request
Please send me a quote for website hosting services.,quote_request
How much do you charge for corporate event planning?,quote_request
Can I get a quote for a one-week yacht rental?,quote_request
What’s the price for a custom-tailored suit?,quote_request
"Please provide a quote for 5,000 branded water bottles.",quote_request
How much would it cost to install hardwood flooring?,quote_request
Can you quote me on cloud computing services for small businesses?,quote_request
What is the price for a business-class flight to Tokyo?,quote_request
Please send me a quote for cybersecurity consultation.,quote_request
How much do you charge for a family portrait session?,quote_request
Can I get a quote for monthly accounting services?,quote_request
What’s the cost for a new desktop computer setup?,quote_request
Please provide a quote for annual car maintenance.,quote_request
How much do you charge for virtual assistant services?,quote_request
Can you quote me on a weekend retreat package?,quote_request
What’s the price for a subscription to your analytics platform?,quote_request
Please send me a quote for professional headshots.,quote_request
How much would it cost to repair a cracked windshield?,quote_request
Can I get a quote for a year of home insurance?,quote_request
What’s the cost of a personalized gift hamper?,quote_request
Please provide a quote for commercial cleaning services.,quote_request
How much do you charge for bookkeeping per hour?,quote_request
Can you quote me on building a custom API?,quote_request
What’s the price for a two-week online course?,quote_request
Please send me a quote for pet boarding services.,quote_request
How much would it cost to lease a commercial property?,other
Can I get a quote for 200 reusable shopping bags?,quote_request
What’s the cost of a premium car wash service?,quote_request
Please provide a quote for translation services for a 20-page document.,quote_request
How much do you charge for portrait painting commissions?,quote_request
Can you quote the cost of a complete SEO audit?,quote_request
What is the price for a day of childcare services?,quote_request
Please send me a quote for installing a security system.,quote_request
How much would it cost to print 500 custom calendars?,quote_request
Can I get a quote for a 7-day guided tour in Europe?,quote_request
What’s the price for annual lawn care services?,quote_request
Please provide a quote for building a custom database.,quote_request
How much do you charge for a private yoga class?,quote_request
Can you quote me for 50 pounds of organic honey?,quote_request
What’s the cost of a 5-year extended warranty?,quote_request
Please send me a quote for custom app development.,quote_request
How much would it cost to rent a moving truck?,quote_request
Can I get a quote for hosting a corporate retreat?,quote_request
What’s the price for 10 hours of graphic design work?,quote_request
Please provide a quote for catering services for a small gathering.,quote_request
How much do you charge for a personal stylist consultation?,quote_request
Can you quote me on a group fitness class package?,quote_request
"What is the cost of printing 1,000 catalogs?",quote_request
Please send me a quote for a landscape design project.,quote_request
How much would it cost to ship a pallet of goods?,quote_request
Can I get a quote for voice acting for a commercial?,quote_request
What’s the price for a customized CRM system?,quote_request
Please provide a quote for 2 weeks of language tutoring.,quote_request
How much do you charge for a detailed market analysis?,quote_request
Can you quote the cost of fence installation for a backyard?,quote_request
What’s the cost of a live band for a wedding reception?,quote_request
Please send me a quote for virtual reality development services.,quote_request
How much would it cost to produce a 3-minute promotional video?,quote_request
Can I get a quote for commercial pest control services?,quote_request
What’s the price for replacing carpet in 3 rooms?,quote_request
Please provide a quote for graphic design of a company logo.,quote_request
How much do you charge for private music lessons?,quote_request
Can you quote me on managing a small business’s social media?,quote_request
What’s the cost of renting audio-visual equipment for an event?,quote_request
Please send me a quote for a business website redesign.,quote_request
How much would it cost to hire an executive coach?,quote_request
Can I get a quote for an annual subscription to your software?,quote_request
What’s the price for engraving services for 50 awards?,quote_request
Please provide a quote for monthly email marketing campaigns.,quote_request
How much do you charge for personal chef services?,quote_request
Can you quote the cost of a conference booth setup?,quote_request
What is the cost of a custom-built treehouse?,quote_request
Please send me a quote for virtual event hosting services.,quote_request
How much would it cost to produce a batch of custom candles?,quote_request
Can I get a quote for custom window treatments?,quote_request
What’s the price for premium gym equipment?,quote_request
Please provide a quote for an annual maintenance plan for appliances.,quote_request
How much do you charge for a professional resume rewrite?,quote_request
Can you quote me on training services for employees?,quote_request
What’s the cost of a comprehensive digital marketing strategy?,quote_request
Please send me a quote for outdoor patio furniture for a restaurant.,quote_request
How much would it cost to build a mobile-responsive website?,quote_request
Can I get a quote for repair services for industrial machinery?,quote_request
What’s the price for a family photography package?,quote_request
Please provide a quote for regular dog walking services.,quote_request
How much do you charge for video conferencing hardware?,quote_request
Can you quote the cost of a professional DJ for a party?,quote_request
What is the price of hosting a virtual conference for 500 attendees?,quote_request
"Please send me a quote for manufacturing 10,000 units of a product.",quote_request
How much would it cost to replace an air conditioning unit?,quote_request
Can I get a quote for legal document preparation?,quote_request
What’s the price for a brand identity package?,quote_request
